row ID,Time,Retweet from,User
Row141,8/15/2017 2:13,,elonmusk
Row142,8/15/2017 2:12,,elonmusk
Row143,8/15/2017 2:05,,elonmusk
Row144,8/15/2017 1:26,,elonmusk
Row145,8/15/2017 1:19,,elonmusk
Row146,8/14/2017 22:39,SpaceX,elonmusk
Row147,8/14/2017 20:09,NASA,elonmusk
Row148,8/14/2017 20:05,,elonmusk
Row149,8/13/2017 18:56,,elonmusk
Row150,8/12/2017 7:32,,elonmusk
Row151,8/12/2017 7:26,,elonmusk
Row152,8/12/2017 6:47,,elonmusk
Row153,8/12/2017 5:44,,elonmusk
Row154,8/12/2017 3:47,,elonmusk
Row155,8/12/2017 3:41,,elonmusk
Row156,8/12/2017 3:32,,elonmusk
Row157,8/12/2017 3:29,,elonmusk
Row158,8/12/2017 3:15,,elonmusk
Row159,8/12/2017 3:10,OpenAI,elonmusk
Row160,8/12/2017 3:09,OpenAI,elonmusk
Row161,8/11/2017 8:23,,elonmusk
Row162,8/11/2017 8:02,,elonmusk
Row163,8/11/2017 7:38,,elonmusk
Row164,8/11/2017 7:35,,elonmusk
Row165,8/11/2017 7:32,,elonmusk
Row166,8/11/2017 7:29,,elonmusk
Row167,8/11/2017 5:45,,elonmusk
Row168,8/11/2017 5:42,,elonmusk
Row169,8/11/2017 5:38,,elonmusk
Row170,8/11/2017 5:33,,elonmusk
Row171,8/11/2017 5:29,,elonmusk
Row172,8/10/2017 8:10,,elonmusk
Row173,8/7/2017 2:55,,elonmusk
Row174,8/7/2017 1:26,,elonmusk
Row175,8/6/2017 3:40,,elonmusk
Row176,8/6/2017 3:40,,elonmusk
Row177,8/6/2017 3:35,,elonmusk
Row178,8/6/2017 3:13,,elonmusk
Row179,8/6/2017 3:02,,elonmusk
Row180,8/6/2017 3:00,,elonmusk
Row181,8/6/2017 2:53,,elonmusk
Row182,8/6/2017 2:50,,elonmusk
Row183,8/6/2017 2:49,,elonmusk
Row184,8/6/2017 2:46,,elonmusk
Row185,8/5/2017 22:44,,elonmusk
Row186,8/4/2017 13:20,,elonmusk
Row187,8/3/2017 21:27,,elonmusk
Row188,8/3/2017 1:56,,elonmusk
Row189,8/2/2017 21:46,,elonmusk
Row190,8/2/2017 21:17,,elonmusk
Row191,8/2/2017 3:39,,elonmusk
Row192,8/1/2017 5:53,,elonmusk
Row193,7/31/2017 21:02,,elonmusk
Row194,7/31/2017 18:48,,elonmusk
Row195,7/31/2017 10:34,,elonmusk
Row196,7/31/2017 9:41,,elonmusk
Row197,7/30/2017 22:11,,elonmusk
Row198,7/30/2017 20:58,,elonmusk
Row199,7/30/2017 20:40,,elonmusk
Row200,7/30/2017 20:39,,elonmusk
Row201,7/30/2017 20:32,,elonmusk
Row202,7/30/2017 20:23,,elonmusk
Row203,7/30/2017 20:15,,elonmusk
Row204,7/30/2017 20:00,,elonmusk
Row205,7/30/2017 9:32,,elonmusk
Row206,7/30/2017 9:17,,elonmusk
Row207,7/30/2017 2:34,,elonmusk
Row208,7/29/2017 19:38,,elonmusk
Row209,7/29/2017 9:31,MotorTrend,elonmusk
Row210,7/29/2017 9:30,Tesla,elonmusk
Row211,7/29/2017 9:30,Tesla,elonmusk
Row212,7/29/2017 9:29,Tesla,elonmusk
Row213,7/29/2017 4:48,,elonmusk
Row214,7/29/2017 4:30,,elonmusk
Row215,7/29/2017 4:28,,elonmusk
Row216,7/29/2017 4:28,,elonmusk
Row217,7/29/2017 4:27,,elonmusk
Row218,7/29/2017 4:27,,elonmusk
Row219,7/29/2017 4:07,Tesla,elonmusk
Row220,7/29/2017 2:21,mkarolian,elonmusk
Row221,7/28/2017 10:03,,elonmusk
Row222,7/28/2017 8:45,,elonmusk
Row223,7/28/2017 8:45,,elonmusk
Row224,7/28/2017 6:21,,elonmusk
Row225,7/28/2017 5:45,,elonmusk
Row226,7/27/2017 23:52,,elonmusk
Row227,7/27/2017 0:47,Teslarati,elonmusk
Row228,7/27/2017 0:36,Tesla,elonmusk
Row229,7/27/2017 0:23,guardianeco,elonmusk
Row230,7/26/2017 9:27,,elonmusk
Row231,7/26/2017 6:18,,elonmusk
Row232,7/25/2017 10:38,,elonmusk
Row233,7/25/2017 10:29,,elonmusk
Row234,7/25/2017 10:07,,elonmusk
Row235,7/25/2017 10:04,,elonmusk
Row236,7/25/2017 9:42,,elonmusk
Row237,7/25/2017 9:39,,elonmusk
Row238,7/25/2017 9:37,,elonmusk
Row239,7/25/2017 2:56,rj8w,elonmusk
Row240,7/22/2017 20:31,,elonmusk
Row241,7/22/2017 3:25,,elonmusk
Row242,7/22/2017 2:30,,elonmusk
Row243,7/22/2017 2:03,Teslarati,elonmusk
Row244,7/22/2017 0:09,,elonmusk
Row245,7/22/2017 0:08,,elonmusk
Row246,7/21/2017 14:51,,elonmusk
Row247,7/21/2017 5:52,,elonmusk
Row248,7/20/2017 23:58,,elonmusk
Row249,7/20/2017 23:44,,elonmusk
Row250,7/20/2017 23:40,,elonmusk
Row251,7/20/2017 19:45,,elonmusk
Row252,7/20/2017 18:36,,elonmusk
Row253,7/20/2017 18:31,,elonmusk
Row254,7/20/2017 18:11,,elonmusk
Row255,7/20/2017 18:09,,elonmusk
Row256,7/20/2017 0:15,,elonmusk
Row257,7/18/2017 22:33,TheOnion,elonmusk
Row258,7/18/2017 22:32,NASA,elonmusk
Row259,7/17/2017 23:54,Tesla,elonmusk
Row260,7/17/2017 23:00,,elonmusk
Row261,7/17/2017 22:56,,elonmusk
Row262,7/17/2017 22:43,,elonmusk
Row263,7/17/2017 22:20,,elonmusk
Row264,7/17/2017 22:12,,elonmusk
Row265,7/17/2017 21:12,,elonmusk
Row266,7/16/2017 8:24,tanyaofmars,elonmusk
Row267,7/15/2017 23:59,,elonmusk
Row268,7/15/2017 3:28,,elonmusk
Row269,7/15/2017 2:55,,elonmusk
Row270,7/14/2017 20:57,,elonmusk
Row271,7/14/2017 20:39,,elonmusk
Row272,7/14/2017 18:46,,elonmusk
Row273,7/14/2017 18:37,,elonmusk
Row274,7/14/2017 18:33,,elonmusk
Row275,7/14/2017 11:37,,elonmusk
Row276,7/14/2017 11:33,,elonmusk
Row277,7/14/2017 11:21,,elonmusk
Row278,7/14/2017 9:29,,elonmusk
Row279,7/14/2017 9:05,,elonmusk
Row280,7/14/2017 8:51,,elonmusk
Row281,7/14/2017 3:45,,elonmusk
Row282,7/14/2017 2:04,,elonmusk
Row283,7/14/2017 2:03,,elonmusk
Row284,7/14/2017 2:02,,elonmusk
Row285,7/14/2017 1:46,,elonmusk
Row286,7/14/2017 1:46,,elonmusk
Row287,7/14/2017 1:25,,elonmusk
Row288,7/13/2017 1:30,,elonmusk
Row289,7/12/2017 2:54,,elonmusk
Row290,7/12/2017 2:20,,elonmusk
Row291,7/12/2017 2:18,,elonmusk
Row292,7/11/2017 20:54,,elonmusk
Row293,7/11/2017 20:38,,elonmusk
Row294,7/11/2017 20:18,,elonmusk
Row295,7/11/2017 12:05,,elonmusk
Row296,7/11/2017 9:50,,elonmusk
Row297,7/11/2017 9:44,,elonmusk
Row298,7/11/2017 9:02,,elonmusk
Row299,7/11/2017 8:58,,elonmusk
Row300,7/11/2017 8:27,,elonmusk
Row301,7/11/2017 4:10,,elonmusk
Row302,7/9/2017 7:45,,elonmusk
Row303,7/9/2017 7:06,,elonmusk
Row304,7/9/2017 4:15,,elonmusk
Row305,7/9/2017 3:39,,elonmusk
Row306,7/9/2017 3:11,,elonmusk
Row307,7/8/2017 13:40,mcannonbrookes,elonmusk
Row308,7/8/2017 13:28,,elonmusk
Row309,7/8/2017 13:24,,elonmusk
Row310,7/7/2017 10:06,BBCWorld,elonmusk
Row311,7/7/2017 8:33,HuffPostAU,elonmusk
Row312,7/7/2017 6:42,,elonmusk
Row313,7/6/2017 15:29,,elonmusk
Row314,7/6/2017 3:40,,elonmusk
Row315,7/6/2017 1:25,,elonmusk
Row316,7/4/2017 9:01,,elonmusk
Row317,7/4/2017 1:44,,elonmusk
Row318,7/3/2017 9:12,,elonmusk
Row319,7/3/2017 9:04,,elonmusk
Row320,7/3/2017 8:48,,elonmusk
Row321,7/2/2017 22:40,,elonmusk
Row322,7/2/2017 22:14,,elonmusk
Row323,7/2/2017 21:02,,elonmusk
Row324,7/2/2017 21:00,,elonmusk
Row325,7/2/2017 20:58,,elonmusk
Row326,7/2/2017 20:51,,elonmusk
Row327,6/30/2017 19:00,,elonmusk
Row328,6/30/2017 18:59,,elonmusk
Row329,6/30/2017 9:58,,elonmusk
Row330,6/30/2017 9:48,,elonmusk
Row331,6/30/2017 9:31,,elonmusk
Row332,6/30/2017 9:26,,elonmusk
Row333,6/30/2017 8:57,,elonmusk
Row334,6/30/2017 8:51,,elonmusk
Row335,6/29/2017 21:14,,elonmusk
Row336,6/29/2017 21:09,,elonmusk
Row337,6/29/2017 10:24,,elonmusk
Row338,6/29/2017 10:07,,elonmusk
Row339,6/29/2017 9:48,,elonmusk
Row340,6/29/2017 8:45,,elonmusk
Row341,6/29/2017 8:33,,elonmusk
Row342,6/29/2017 5:42,,elonmusk
Row343,6/29/2017 5:32,,elonmusk
Row344,6/29/2017 5:32,,elonmusk
Row345,6/29/2017 4:45,,elonmusk
Row346,6/29/2017 4:45,,elonmusk
Row347,6/29/2017 4:43,,elonmusk
Row348,6/29/2017 4:42,,elonmusk
Row349,6/29/2017 2:35,,elonmusk
Row350,6/29/2017 2:10,,elonmusk
Row351,6/29/2017 2:09,,elonmusk
Row352,6/26/2017 21:54,,elonmusk
Row353,6/26/2017 20:32,,elonmusk
Row354,6/26/2017 1:31,,elonmusk
Row355,6/26/2017 0:41,,elonmusk
Row356,6/26/2017 0:19,,elonmusk
Row357,6/26/2017 0:18,,elonmusk
Row358,6/26/2017 0:14,,elonmusk
Row359,6/25/2017 23:56,,elonmusk
Row360,6/25/2017 23:03,,elonmusk
Row361,6/25/2017 23:02,,elonmusk
Row362,6/25/2017 23:01,,elonmusk
Row363,6/25/2017 22:55,,elonmusk
Row364,6/25/2017 7:58,,elonmusk
Row365,6/25/2017 7:16,,elonmusk
Row366,6/25/2017 7:15,,elonmusk
Row367,6/25/2017 6:57,,elonmusk
Row368,6/25/2017 6:56,,elonmusk
Row369,6/25/2017 6:53,,elonmusk
Row370,6/25/2017 6:48,,elonmusk
Row371,6/25/2017 6:44,,elonmusk
Row372,6/24/2017 3:18,,elonmusk
