Date,Open_Price,High_Price,Low_Price,Close_Price,Adj_Close_Price,Volume
7/3/13,118,119.25,114.269997,115.239998,115.239998,4806700
7/5/13,118.32,120.279999,115.699997,120.089996,120.089996,6818700
7/8/13,121.370003,122.18,118.82,121.610001,121.610001,7814200
7/9/13,124.639999,125.32,121.910004,123.449997,123.449997,8603300
7/10/13,123.190002,123.25,120.790001,122.269997,122.269997,5600100
7/11/13,124.879997,126.089996,122.349998,125.610001,125.610001,7483600
7/12/13,125.5,129.940002,124.510002,129.899994,129.899994,11344000
7/15/13,133.029999,133.259995,126.82,127.260002,127.260002,9922400
7/16/13,126.279999,126.32,107.300003,109.050003,109.050003,32371900
7/17/13,106.519997,121.620003,104.5,120.25,120.25,26029000
7/18/13,120.970001,122.730003,116.18,119.029999,119.029999,11398100
7/19/13,118.5,120.550003,116.510002,119.68,119.68,5890300
7/22/13,119.889999,126.68,119.879997,122.43,122.43,9797800
7/23/13,124,125.559998,121.82,122.739998,122.739998,7736400
7/24/13,124.470001,124.5,119.559998,121.699997,121.699997,6869000
7/25/13,120.400002,124.75,120.190002,124.07,124.07,5284300
7/26/13,128.139999,130.679993,126.610001,129.389999,129.389999,9633100
7/29/13,129.320007,135.369995,128.25,134.619995,134.619995,9678900
7/30/13,134.800003,137.490005,128.179993,131.740005,131.740005,13127000
7/31/13,132.570007,134.970001,131.449997,134.279999,134.279999,6351700
8/1/13,135,136.520004,132.630005,135.550003,135.550003,5323600
8/2/13,134.589996,138.25,133.610001,138,138,6269900
8/5/13,140.009995,144.889999,139.649994,144.679993,144.679993,10200700
8/6/13,144.75,145.729996,141.100006,142.149994,142.149994,9254500
8/7/13,141.889999,141.949997,132.360001,134.229996,134.229996,18212200
8/8/13,154.350006,158.880005,150.460007,153.479996,153.479996,27246800
8/9/13,152.399994,155.949997,151.25,153,153,8927700
8/12/13,149.429993,150.5,142.050003,147.380005,147.380005,14912200
8/13/13,149.5,149.839996,144.449997,145.429993,145.429993,8748900
8/14/13,142.720001,144.839996,138.050003,139.360001,139.360001,11693800
8/15/13,136.429993,143.600006,135,139.669998,139.669998,10179200
8/16/13,141.630005,143.910004,140.970001,142,142,7108100
8/19/13,143.429993,147.380005,142.830002,144.899994,144.899994,8037700
8/20/13,148.649994,149.779999,147,149.580002,149.580002,6418200
8/21/13,150,150.309998,146.25,147.860001,147.860001,6266300
8/22/13,149.220001,157.479996,148.139999,157.100006,157.100006,10592400
8/23/13,157,162.300003,155,161.839996,161.839996,12931900
8/26/13,165.149994,173,160.25,164.220001,164.220001,24171100
8/27/13,162.300003,168.800003,160.949997,167.009995,167.009995,17566900
8/28/13,169.059998,171.5,163.25,166.449997,166.449997,14740100
8/29/13,164.220001,167.75,162.509995,166.059998,166.059998,9436000
8/30/13,166.369995,169.210007,163.960007,169,169,11028400
9/3/13,173.399994,173.699997,166.399994,168.940002,168.940002,12061100
9/4/13,169.770004,171.619995,165.559998,170.619995,170.619995,11475700
9/5/13,170.100006,171.5,168.25,169.929993,169.929993,6685300
9/6/13,168.570007,169.699997,165.149994,166.970001,166.970001,8619700
9/9/13,163.119995,164.5,158.509995,160.699997,160.699997,14344500
9/10/13,161.449997,167.5,160.630005,166.369995,166.369995,8967800
9/11/13,166.410004,167.899994,162.130005,163.520004,163.520004,5832500
9/12/13,164,166.759995,160.509995,164.929993,164.929993,6160000
9/13/13,162.770004,166.369995,162.160004,165.539993,165.539993,5401200
9/16/13,168,170.850006,165.850006,166.580002,166.580002,7574900
9/17/13,165.080002,168.419998,163.360001,166.229996,166.229996,5496900
9/18/13,167.070007,167.449997,164.199997,166.220001,166.220001,5439700
9/19/13,170.800003,180.470001,169.080002,177.919998,177.919998,15594600
9/20/13,178.899994,185.830002,178.559998,183.389999,183.389999,13401700
9/23/13,184.479996,185.479996,177.110001,181.110001,181.110001,8173400
9/24/13,179.139999,184.960007,177.649994,182.330002,182.330002,6273400
9/25/13,183.559998,186.300003,180.5,185.240005,185.240005,8252700
9/26/13,186.699997,189.679993,185.610001,188.639999,188.639999,6614400
9/27/13,187.520004,191.279999,186.429993,190.899994,190.899994,5916400
9/30/13,189,194.5,188,193.369995,193.369995,8924700
10/1/13,193.960007,194.229996,188.369995,193,193,7755900
10/2/13,188.589996,191.830002,175.399994,180.949997,180.949997,20775400
10/3/13,175.050003,179.690002,168,173.309998,173.309998,23816500
10/4/13,176.399994,181.179993,172.649994,180.979996,180.979996,14414000
10/7/13,182.460007,186.729996,180.259995,183.070007,183.070007,11485600
10/8/13,184.399994,185.929993,173.210007,174.729996,174.729996,13757200
10/9/13,174.729996,174.990005,161.5,168.779999,168.779999,15316500
10/10/13,173.089996,175.75,169.690002,172.929993,172.929993,8883900
10/11/13,172.75,179.289993,171.199997,178.699997,178.699997,8311100
10/14/13,175,182.5,174.149994,179.720001,179.720001,7769600
10/15/13,185.279999,188.789993,183.179993,183.940002,183.940002,10978500
10/16/13,184.899994,187.300003,182.089996,183.559998,183.559998,8205400
10/17/13,183.539993,184.800003,180.990005,182.800003,182.800003,6705000
10/18/13,184.149994,185.960007,182.520004,183.399994,183.399994,5930800
10/21/13,183.279999,183.389999,171,172.600006,172.600006,11532100
10/22/13,170.5,177.779999,166.110001,171.539993,171.539993,11386700
10/23/13,168.910004,171.809998,160.149994,164.5,164.5,13320400
10/24/13,165,174.5,162.830002,173.149994,173.149994,10825700
10/25/13,174.210007,174.5,166.800003,169.660004,169.660004,7595500
10/28/13,170.179993,170.5,162.199997,162.860001,162.860001,7841700
10/29/13,162.759995,165.449997,153,164.470001,164.470001,14111700
10/30/13,164.630005,167.679993,158.169998,159.220001,159.220001,8401800
10/31/13,155.669998,162.440002,153.300003,159.940002,159.940002,9333800
11/1/13,163,165.899994,160.410004,162.169998,162.169998,7180600
11/4/13,165,175.389999,164.220001,175.199997,175.199997,13120400
11/5/13,180,181.429993,171.360001,176.809998,176.809998,22467100
11/6/13,154.809998,160.729996,146.350006,151.160004,151.160004,31071700
11/7/13,144.190002,145.649994,137.619995,139.770004,139.770004,22284700
11/8/13,136.479996,140.600006,132.320007,137.949997,137.949997,22477900
11/11/13,141,145.419998,137.100006,144.699997,144.699997,13997600
11/12/13,144.690002,144.699997,136.179993,137.800003,137.800003,14985200
11/13/13,140.839996,142.369995,136.339996,138.699997,138.699997,12658300
11/14/13,138.919998,140.399994,134.110001,137.600006,137.600006,12203700
11/15/13,136.850006,137.949997,134.350006,135.449997,135.449997,9900200
11/18/13,135.270004,135.449997,119.610001,121.580002,121.580002,23138200
11/19/13,119.43,129,119.220001,126.089996,126.089996,19816200
11/20/13,126.080002,127.449997,119.059998,121.110001,121.110001,13849600
11/21/13,122.889999,124.790001,120.25,122.099998,122.099998,11903800
11/22/13,121.580002,122.75,117.93,121.379997,121.379997,11096700
11/25/13,124.5,125.839996,120.300003,120.839996,120.839996,10267300
11/26/13,119.379997,122.720001,116.099998,120.5,120.5,13885500
11/27/13,121.309998,126.949997,119.519997,126.940002,126.940002,12367600
11/29/13,129.770004,130.589996,126.980003,127.279999,127.279999,9716200
12/2/13,126.349998,128.550003,123.93,124.169998,124.169998,7751200
12/3/13,132.679993,144.940002,131.589996,144.699997,144.699997,25682400
12/4/13,144.320007,144.429993,137.130005,138.949997,138.949997,13147700
12/5/13,140.149994,143.350006,139.5,140.479996,140.479996,9288400
12/6/13,141.509995,142.490005,136.300003,137.360001,137.360001,7909600
12/9/13,137,141.699997,134.210007,141.600006,141.600006,9061500
12/10/13,140.050003,145.869995,139.860001,142.190002,142.190002,10748200
12/11/13,141.880005,143.050003,139.490005,139.649994,139.649994,7137800
12/12/13,139.699997,148.240005,138.529999,147.470001,147.470001,10767800
12/13/13,148.050003,151.800003,147.320007,147.649994,147.649994,10591900
12/16/13,148.479996,150.429993,146.100006,147.940002,147.940002,6675300
12/17/13,147.580002,154.630005,146.320007,152.460007,152.460007,10495000
12/18/13,152.240005,154.899994,145.949997,147.979996,147.979996,11581900
12/19/13,146.899994,147,139.100006,140.720001,140.720001,12740000
12/20/13,141.580002,144.350006,141.580002,143.240005,143.240005,7412600
12/23/13,144.850006,146.240005,142.600006,143.550003,143.550003,5385500
12/24/13,150,154.970001,149.820007,151.410004,151.410004,9941500
12/26/13,155.039993,158,154.289993,155.5,155.5,7129500
12/27/13,155.300003,155.5,150.800003,151.119995,151.119995,5460200
12/30/13,151.119995,154.809998,150.75,152.440002,152.440002,4467500
12/31/13,152.320007,153.199997,148.660004,150.429993,150.429993,4262400
